Date,Test,Control,Result
2026-08-24,strep,control 1,pass
2026-08-24,flu,control 1,pass
2026-08-24,urine,control 1,pass
2026-08-23,strep,control 1,pass
2026-08-23,flu,control 1,pass
2026-08-23,urine,control 1,pass
2026-08-22,strep,control 1,pass
2026-08-22,flu,control 1,pass
2026-08-22,urine,control 1,pass
2026-08-21,strep,control 1,pass
2026-08-21,urine,control 1,pass
2026-08-20,strep,control 1,pass
2026-08-20,urine,control 1,pass
2026-08-19,strep,control 1,pass
2026-08-19,urine,control 1,pass
2026-08-18,strep,control 1,pass
2026-08-18,flu,control 1,pass
2026-08-18,urine,control 1,pass
2026-08-17,strep,control 1,pass
2026-08-17,flu,control 1,pass
2026-08-17,urine,control 1,fail
2026-08-16,strep,control 1,pass
2026-08-16,flu,control 1,pass
2026-08-16,urine,control 1,pass
2026-08-15,strep,control 1,pass
2026-08-15,flu,control 1,pass
2026-08-15,urine,control 1,pass
2026-08-14,strep,control 1,pass
2026-08-14,flu,control 1,pass
2026-08-14,urine,control 1,pass
2026-08-13,strep,control 1,pass
2026-08-13,flu,control 1,pass
2026-08-13,urine,control 1,pass
2026-08-12,strep,control 1,pass
2026-08-12,flu,control 1,pass
2026-08-12,urine,control 1,pass
2026-08-11,strep,control 1,pass
2026-08-11,flu,control 1,pass
2026-08-11,urine,control 1,pass
2026-08-10,strep,control 1,pass
2026-08-10,flu,control 1,pass
2026-08-10,urine,control 1,pass
2026-08-09,strep,control 1,pass
2026-08-09,flu,control 1,pass
2026-08-09,urine,control 1,pass
2026-08-08,strep,control 1,pass
2026-08-08,flu,control 1,pass
2026-08-08,urine,control 1,pass
2026-08-07,strep,control 1,pass
2026-08-07,flu,control 1,pass
2026-08-07,urine,control 1,pass
2026-08-06,strep,control 1,pass
2026-08-06,flu,control 1,pass
2026-08-06,urine,control 1,pass
2026-08-05,strep,control 1,pass
2026-08-05,flu,control 1,pass
2026-08-05,urine,control 1,pass
